Data below is obtained from fasta file:  "/Users/Mana/Desktop/Demo Files/Name Extractor/Sequences_demo.fasta"
Total number of sequences present in fasta file:  677
Number of unique descriptions present among them:  422

### Following are the unique descriptions extracted: ###

 Description, Count
MULTISPECIES: inorganic pyrophosphatase [Methylophilus].,1
MULTISPECIES: inorganic pyrophosphatase [Methylobacterium].,1
MULTISPECIES: inorganic pyrophosphatase [Erwinia].,1
MULTISPECIES: inorganic pyrophosphatase [Corynebacterium].,1
MULTISPECIES: inorganic pyrophosphatase [Chloroflexus].,1
MULTISPECIES: inorganic pyrophosphatase [Bordetella].,1
MULTISPECIES: Inorganic pyrophosphatase/exopolyphosphatase [Thermoanaerobacter].,1
MULTISPECIES: Inorganic pyrophosphatase/exopolyphosphatase [Eubacterium].,1
Inorganic pyrophosphatase/exopolyphosphatase [Butyrivibrio fibrisolvens].,1
Inorganic pyrophosphatase [Pseudomonas syringae].,1
Inorganic pyrophosphatase [Pseudomonas pseudoalcaligenes].,1
Inorganic pyrophosphatase [Propionibacterium acidipropionici].,1
Inorganic pyrophosphatase [Enterobacter cloacae].,1
Inorganic pyrophosphatase [Campylobacter showae].,1
Inorganic pyrophosphatase [Butyrivibrio fibrisolvens].,1
Inorganic pyrophosphatase [Bifidobacterium breve].,1
Inorganic pyrophosphatase [Anabaena cylindrica].,1
H+ translocating pyrophosphate synthase [Xanthomonas oryzae].,1
ADP-ribose pyrophosphatase [Faecalibacterium prausnitzii].,1
ADP-ribose pyrophosphatase [Enterobacter cloacae].,1
ADP-ribose pyrophosphatase [Butyrivibrio fibrisolvens].,1
